tconst,Rank
tt0011801,0
tt0013274,0
tt0015414,0
tt0035423,53
tt0062336,0
tt0067683,0
tt0069049,0
tt0079644,0
tt0083060,0
tt0088751,0
tt0089067,0
tt0092960,0
tt0093119,0
tt0094859,0
tt0096056,0
tt0097540,0
tt0100275,0
tt0102362,0
tt0104988,0
tt0107706,0
tt0108549,0
tt0109173,0
tt0110476,0
tt0111414,0
tt0112502,0
tt0112912,0
tt0113026,0
tt0113086,0
tt0113092,0
tt0113506,0
tt0114447,0
tt0114722,0
tt0115686,0
tt0115937,0
tt0116391,0
tt0116628,0
tt0116748,0
tt0116847,0
tt0116991,0
tt0117461,0
tt0117743,0
tt0118141,0
tt0118154,0
tt0118578,0
tt0118589,156
tt0118652,0
tt0118694,170
tt0118710,0
tt0118852,0
tt0118911,0
tt0118926,185
tt0119004,0
tt0119231,0
tt0119273,0
tt0119495,0
tt0119645,0
tt0119727,0
tt0119768,0
tt0119806,0
tt0119866,0
tt0119966,0
tt0119970,0
tt0119980,0
tt0120117,0
tt0120166,50
tt0120202,142
tt0120263,0
tt0120454,0
tt0120467,0
tt0120485,0
tt0120589,0
tt0120605,0
tt0120607,0
tt0120624,0
tt0120626,0
tt0120630,20
tt0120667,53
tt0120673,0
tt0120679,96
tt0120681,75
tt0120698,0
tt0120729,0
tt0120733,0
tt0120737,143
tt0120753,0
tt0120755,3
tt0120804,64
tt0120807,0
tt0120824,126
tt0120870,174
tt0120903,8
tt0120912,8
tt0120913,92
tt0120917,172
tt0121164,51
tt0121569,0
tt0121609,0
tt0121765,3
tt0121766,1
tt0121919,0
tt0122161,0
tt0122247,0
tt0122459,78
tt0122936,0
tt0123003,0
tt0123055,0
tt0123581,0
tt0124278,0
tt0124359,0
tt0124889,0
tt0125022,60
tt0125742,0
tt0126029,3
tt0126899,0
tt0127349,0
tt0128129,0
tt0128154,0
tt0128158,0
tt0128165,0
tt0128216,0
tt0128997,0
tt0129095,0
tt0130255,0
tt0130458,0
tt0130623,11
tt0131370,0
tt0131597,23
tt0131704,89
tt0132078,0
tt0132245,72
tt0132885,0
tt0132910,0
tt0133063,0
tt0133152,10
tt0133240,69
tt0133752,0
tt0134084,27
tt0134630,153
tt0134847,62
tt0134983,183
tt0135707,74
tt0135991,0
tt0136517,0
tt0136666,0
tt0137115,0
tt0137140,0
tt0137204,0
tt0137210,0
tt0137698,0
tt0137818,0
tt0138288,0
tt0138353,0
tt0138524,81
tt0138583,0
tt0138631,0
tt0138749,51
tt0138818,0
tt0138856,0
tt0138927,0
tt0138946,0
tt0139159,0
tt0139297,0
tt0139388,0
tt0139479,0
tt0139494,0
tt0139500,0
tt0139613,0
tt0139654,29
tt0140420,0
tt0140806,0
tt0141120,0
tt0141399,167
tt0141647,0
tt0141907,138
tt0141926,28
tt0142634,0
tt0142650,0
tt0143196,0
tt0143344,0
tt0143558,0
tt0143861,0
tt0144084,116
tt0144136,0
tt0144142,0
tt0144280,0
tt0144449,0
tt0144528,16
tt0144574,0
tt0144608,0
tt0144645,0
tt0144940,0
tt0144964,125
tt0145276,0
tt0145467,0
tt0145487,1
tt0145882,0
tt0145883,0
tt0145937,0
tt0146063,0
tt0146272,0
tt0146309,73
tt0146316,15
tt0146592,0
tt0146803,0
tt0146882,87
tt0146984,81
tt0147447,0
tt0147486,0
tt0148095,0
tt0148120,0
tt0148403,0
tt0148415,0
tt0148421,0
tt0148444,0
tt0149253,0
tt0149367,147
tt0149624,112
tt0150021,0
tt0151150,0
tt0151299,0
tt0151309,0
tt0151372,0
tt0151685,0
tt0152083,0
tt0152167,0
tt0152772,0
tt0153012,0
tt0153100,0
tt0153140,0
tt0153159,0
tt0153433,0
