,tconst,birth,movie,tv,total votes,average votes,average ratings
0,tt0011801,1886.0,4.0,0.0,502.0,126.0,6.2
1,tt0013274,1896.0,8.0,0.0,28808.0,3601.0,7.0
2,tt0035423,1963.0,11.0,3.0,2939827.0,209988.0,7.2
3,tt0062336,1944.5,27.5,2.5,16719.0,433.5,6.3
4,tt0067683,1944.0,7.5,1.0,219156.5,15733.0,7.35
5,tt0069049,1915.0,27.0,3.0,713354.0,23778.0,7.0
6,tt0079644,1937.0,5.0,0.0,146.0,29.0,7.6
7,tt0083060,1941.0,1.0,0.0,121.0,121.0,7.5
8,tt0088751,1952.0,5.0,2.0,23297.0,3328.0,7.4
9,tt0089067,1906.0,66.0,0.0,5470.0,83.0,6.4
10,tt0093119,1937.0,1.0,0.0,1256.0,1256.0,2.8
11,tt0094859,1940.0,1.0,0.0,82.0,82.0,8.0
12,tt0096056,1929.0,40.0,0.0,90719.0,2268.0,5.3
13,tt0097540,1941.0,45.0,4.0,30818.0,629.0,6.6
14,tt0100275,1944.5,27.5,2.5,16719.0,433.5,6.3
15,tt0104988,1944.0,11.0,0.0,334.0,30.0,7.5
16,tt0109173,1960.0,3.0,0.0,446.0,149.0,7.0
17,tt0110476,1954.0,8.0,0.0,2226.0,278.0,5.3
18,tt0111414,1952.0,3.0,0.0,465.0,155.0,5.5
19,tt0113026,1938.0,21.0,8.0,264841.0,9132.0,6.2
20,tt0115686,1954.0,20.0,0.0,3060.0,153.0,6.2
21,tt0116391,1953.0,1.0,0.0,247.0,247.0,6.2
22,tt0116628,1966.0,2.0,0.0,325.0,163.0,5.3
23,tt0116748,1949.0,13.0,0.0,112564.0,8659.0,6.0
24,tt0116991,1942.0,5.0,0.0,7488.0,1498.0,6.6
25,tt0118141,1964.0,2.0,0.0,1335.0,668.0,6.1
26,tt0118589,1950.0,3.0,7.0,528312.0,52831.0,7.5
27,tt0118694,1956.0,13.0,0.0,498238.0,38326.0,7.1
28,tt0118710,1967.0,1.0,0.0,155.0,155.0,6.3
29,tt0118852,1940.0,4.0,0.0,15551.0,3888.0,6.8
30,tt0118911,1965.0,6.0,6.0,173398.0,14450.0,7.0
31,tt0118926,1953.0,1.0,0.0,6644.0,6644.0,6.9
32,tt0119004,1972.0,1.0,0.0,4431.0,4431.0,5.6
33,tt0119231,1972.0,1.0,0.0,184.0,184.0,4.4
34,tt0119495,1972.0,3.0,0.0,426.0,142.0,4.5
35,tt0119727,1965.0,4.0,0.0,478.0,120.0,5.5
36,tt0119768,1961.0,3.0,0.0,586.0,195.0,5.1
37,tt0119866,1945.0,2.0,1.0,7605.0,2535.0,6.5
38,tt0120117,1952.0,13.0,0.0,8456.0,650.0,6.1
39,tt0120202,1947.0,10.0,2.0,371126.0,30927.0,7.5
40,tt0120263,1943.0,9.0,0.0,67156.0,7462.0,6.8
41,tt0120467,1967.0,1.0,0.0,4120.0,4120.0,5.2
42,tt0120485,1964.0,1.0,66.0,4692627.0,70039.0,7.8
43,tt0120607,1969.0,2.0,0.0,154.0,77.0,5.3
44,tt0120624,1947.0,8.0,0.0,1617.0,202.0,6.5
45,tt0120626,1965.0,5.0,0.0,3590.0,718.0,6.6
46,tt0120630,1955.5,4.0,0.0,355399.5,98903.5,7.2
47,tt0120667,1970.0,16.0,6.0,1145667.0,52076.0,5.9
48,tt0120679,1952.0,6.0,1.0,252676.0,36097.0,6.8
49,tt0120681,1972.0,7.0,2.0,650232.0,72737.5,6.7
50,tt0120698,1968.0,18.0,1.0,41806.0,2200.0,4.5
51,tt0120737,1961.0,15.0,1.0,8134599.0,508412.0,7.7
52,tt0120753,1945.0,42.0,1.0,388208.0,9028.0,6.7
53,tt0120755,1946.0,34.0,0.0,1283130.0,37739.0,6.4
54,tt0120804,1965.0,13.0,1.0,1708010.0,122001.0,5.8
55,tt0120824,1946.0,27.0,1.0,1511614.0,53986.0,6.6
56,tt0120870,1964.0,4.0,2.0,1527.0,255.0,4.6
57,tt0120903,1965.0,11.0,3.0,5083560.0,363111.0,7.1
58,tt0120912,1953.0,11.0,6.0,1943840.0,114344.0,6.3
59,tt0120913,1940.5,9.0,0.0,367156.0,40226.0,6.35
60,tt0120917,1960.0,3.0,0.0,300054.0,100018.0,6.7
61,tt0121164,1958.0,19.0,3.0,5151629.0,234165.0,7.0
62,tt0121765,1944.0,6.0,0.0,3739289.0,623215.0,7.2
